Date,Dividends
2009-06-04,0.5
2009-08-28,0.5
2009-11-27,0.55
2010-02-25,0.55
2010-05-27,0.55
2010-08-30,0.55
2010-11-29,0.61
2011-02-25,0.61
2011-05-27,0.61
2011-08-30,0.61
