Date,Open,High,Low,Close,Adj Close,Volume
2009-06-01,52.549999,53.650002,52.360001000000004,53.360001000000004,36.504059000000005,12487300
2009-06-02,53.23,54.130001,53.16,53.709998999999996,36.7435,11923400
2009-06-03,53.380001,53.84,52.900002,53.810001,36.811909,12643500
2009-06-04,53.759997999999996,53.860001000000004,52.970001,53.349998,36.497227,9987000
2009-06-05,53.560001,53.950001,52.919998,53.18,36.380924,10551000
2009-06-08,52.93,53.580002,52.59,53.139998999999996,36.353542,10651800
2009-06-09,52.84,52.900002,52.25,52.41,35.854149,11606000
2009-06-10,52.689999,52.93,51.57,52.080002,35.628403000000006,13082500
2009-06-11,52.049999,52.740002000000004,51.950001,52.009997999999996,35.580509,10862400
2009-06-12,51.880001,52.77,51.73,52.549999,35.949932000000004,10352700
2009-06-15,52.380001,52.380001,51.07,51.330002,35.115322,12158000
2009-06-16,51.610001000000004,51.610001000000004,50.029999,50.099998,34.273857,15721900
2009-06-17,50.130001,50.75,50.0,50.009997999999996,34.212296,12696700
2009-06-18,50.07,51.360001000000004,50.009997999999996,51.169998,35.005848,12999600
2009-06-19,51.279999,51.470001,50.240002000000004,50.639998999999996,34.643284,19541900
2009-06-22,50.330002,50.869999,50.209998999999996,50.560001,34.588558,12992200
2009-06-23,50.52,50.82,50.389998999999996,50.549999,34.581711,10611800
2009-06-24,50.580002,50.98,50.060001,50.549999,34.581711,12399000
2009-06-25,50.43,52.029999,50.119999,51.68,35.354774,13723300
2009-06-26,51.459998999999996,52.029999,51.049999,51.75,35.402649,25128800
2009-06-29,51.919998,52.400002,51.599998,52.23,35.731014,8899900
2009-06-30,52.23,52.23,50.75,51.099998,34.95797,14393700
2009-07-01,51.470001,52.529999,51.279999,52.0,35.573654,14314300
2009-07-02,51.790001000000004,51.830002,50.740002000000004,51.110001000000004,34.964817,15212000
2009-07-06,50.75,52.419998,50.52,52.169998,35.689987,16040900
2009-07-07,51.990002000000004,52.439999,51.630001,51.91,35.512093,13430500
2009-07-08,52.02,52.810001,51.540001000000004,52.639998999999996,36.011513,16899500
2009-07-09,52.650002,52.75,52.18,52.41,35.854149,11648100
2009-07-10,52.18,52.5,51.939999,52.220001,35.724178,9267400
2009-07-13,52.060001,53.139998999999996,52.049999,52.98,36.244095,12289100
2009-07-14,53.07,53.77,52.740002000000004,53.540001000000004,36.627193,12817300
2009-07-15,53.610001000000004,54.73,53.5,54.650002,37.386562,15161300
2009-07-16,54.650002,55.439999,54.5,55.209998999999996,37.769661,12622000
2009-07-17,55.259997999999996,55.919998,54.93,55.919998,38.255379,13344900
2009-07-20,56.009997999999996,56.029999,55.150002,55.560001,38.00909,10925100
2009-07-21,55.939999,56.18,52.0,55.490002000000004,37.961205,11131800
2009-07-22,55.16,55.360001000000004,54.650002,54.869999,37.837092999999996,10000100
2009-07-23,54.93,55.560001,54.799999,55.16,38.037064,15014200
2009-07-24,55.639998999999996,55.900002,55.330002,55.84,38.505978000000006,8710300
2009-07-27,55.889998999999996,55.98,55.349998,55.779999,38.4646,6866800
2009-07-28,55.599998,55.959998999999996,55.279999,55.709998999999996,38.416332000000004,8142400
2009-07-29,55.560001,56.369999,55.560001,56.119999,38.699065999999995,9666300
2009-07-30,56.57,57.0,55.93,56.23,38.77491,11966500
2009-07-31,56.200001,56.75,55.43,55.509997999999996,38.278408,12663900
2009-08-03,55.959998999999996,56.0,55.0,55.610001000000004,38.347374,11225600
2009-08-04,55.419998,55.919998,55.299999,55.459998999999996,38.243938,10988300
2009-08-05,53.740002000000004,54.169998,53.32,53.91,37.175090999999995,21314600
2009-08-06,53.810001,53.91,51.139998999999996,51.459998999999996,35.485640999999994,29715100
2009-08-07,51.84,52.82,51.459998999999996,52.029999,35.878696000000005,16314800
2009-08-10,51.919998,52.279999,51.580002,52.169998,35.975239,11763800
2009-08-11,52.110001000000004,52.279999,51.93,51.93,35.809742,9293400
2009-08-12,52.0,52.490002000000004,51.849998,52.080002,35.913174,10148400
2009-08-13,52.290001000000004,52.34,51.75,52.299999,36.064884,10486500
2009-08-14,52.549999,52.810001,51.869999,52.369999,36.113144,12069600
2009-08-17,52.32,52.59,52.119999,52.209998999999996,36.002811,11384000
2009-08-18,52.400002,52.66,52.080002,52.450001,36.16832,8342800
2009-08-19,52.27,53.040001000000004,52.27,52.799999,36.409653000000006,12152600
2009-08-20,52.93,53.139998999999996,52.650002,53.02,36.561386,8471400
2009-08-21,53.450001,53.77,53.0,53.580002,36.947548,13272800
2009-08-24,53.77,53.919998,52.970001,53.34,36.782021,11781900
2009-08-25,53.459998999999996,53.990002000000004,53.16,53.400002,36.823418,12681600
2009-08-26,53.41,53.799999,53.279999,53.360001000000004,36.795818,9380600
2009-08-27,53.299999,53.400002,52.700001,53.060001,36.588963,10394900
2009-08-28,53.110001000000004,53.389998999999996,52.66,53.189999,36.678616,8998800
2009-08-31,53.0,54.119999,52.810001,54.110001000000004,37.313015,15366900
2009-09-01,53.849998,54.040001000000004,52.869999,53.02,36.561386,14424400
2009-09-02,52.950001,53.220001,52.75,52.799999,36.409653000000006,8875200
2009-09-03,52.950001,53.02,52.52,52.869999,36.457935,9120800
2009-09-04,52.790001000000004,53.0,52.66,52.860001000000004,36.451042,7527700
2009-09-08,53.450001,54.200001,53.209998999999996,54.200001,37.375060999999995,15674300
2009-09-09,54.200001,54.299999,53.529999,53.759997999999996,37.071663,11148100
2009-09-10,55.23,56.32,55.18,56.040001000000004,38.643894,26758300
