Date,Dividends
2009-08-12,0.273
2009-12-09,0.273
2010-03-10,0.303
2010-05-12,0.303
2010-08-11,0.303
2010-12-08,0.303
2011-03-09,0.365
2011-05-11,0.365
2011-08-10,0.365
