Date,Dividends
2009-08-21,0.49
2009-11-20,0.49
2010-02-19,0.49
2010-05-27,0.54
2010-08-27,0.54
2010-11-26,0.54
2011-02-25,0.54
2011-05-26,0.57
2011-08-26,0.57
