Date,Dividends
2009-08-21,0.35
2009-11-30,0.35
2010-02-26,0.35
2010-05-27,0.35
2010-08-30,0.35
2010-11-30,0.35
2011-02-28,0.35
2011-05-27,0.35
2011-08-30,0.35
